date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-24	St. Louis Cardinals	Cincinnati Reds	10.263519916664142	10.404409956632806	4.7036552	10.5	-0.0955900433671939	0.4918930527220016	UNDER	13.0	False
2023-05-24	Miami Marlins	Colorado Rockies	9.602311464480726	11.413582502867213	4.252306	11.5	-0.08641749713278735	0.4918930527220016	UNDER	12.0	False
2023-05-24	Baltimore Orioles	New York Yankees	8.693801249622949	7.911428560997217	4.358294	8.0	-0.08857143900278341	0.4918930527220016	UNDER	15.0	False
2023-05-24	Detroit Tigers	Kansas City Royals	9.927625291582899	9.466568216908472	4.393479	8.5	0.9665682169084722	0.5870646766169154	OVER	10.0	True
2023-05-24	Los Angeles Dodgers	Atlanta Braves	9.06889669783097	9.161589462459874	4.3503766	9.25	-0.08841053754012584	0.4918930527220016	UNDER	7.0	True
2023-05-24	New York Mets	Chicago Cubs	8.263928175602398	6.856229596735688	4.5014873	7.0	-0.14377040326431167	0.4918930527220016	UNDER	6.0	True
2023-05-24	Toronto Blue Jays	Tampa Bay Rays	9.401332286022448	7.906268870495656	4.6121845	8.0	-0.09373112950434415	0.4918930527220016	UNDER	10.0	False
2023-05-24	Oakland Athletics	Seattle Mariners	8.60318121824843	8.25065170630127	4.4475965	9.0	-0.7493482936987306	0.43310131477184843	UNDER	7.0	True
2023-05-24	Boston Red Sox	Los Angeles Angels	9.093766792335673	9.406551940396024	4.5982556	9.5	-0.09344805960397551	0.4918930527220016	UNDER	10.0	False
2023-05-24	Houston Astros	Milwaukee Brewers	8.085682519943882	8.25933366080624	4.3960667	9.0	-0.7406663391937602	0.43310131477184843	UNDER	4.0	True
2023-05-25	Miami Marlins	Colorado Rockies	9.63147238908197	10.910074126130061	4.424941	11.0	-0.08992587386993911	0.4918930527220016	UNDER	13.0	False
2023-05-25	Chicago White Sox	Detroit Tigers	8.778575652035773	7.911929909953617	4.3336244	8.0	-0.08807009004638289	0.4918930527220016	UNDER	9.0	False
2023-05-25	St. Louis Cardinals	Cincinnati Reds	8.339037151681651	8.186176457037519	4.365171	9.5	-1.3138235429624814	0.3817153628652215	UNDER	3.0	True
2023-05-25	San Diego Padres	Washington Nationals	8.711614321264976	9.411666880057151	4.346567	9.5	-0.08833311994284898	0.4918930527220016	UNDER	14.0	False
2023-05-25	Toronto Blue Jays	Tampa Bay Rays	8.8156322530812	7.915253633753467	4.1700754	8.0	-0.08474636624653265	0.4918930527220016	UNDER	9.0	False
2023-05-25	Baltimore Orioles	New York Yankees	7.8054118655745555	7.077883116294861	4.2761993	8.75	-1.6721168837051392	0.34788799240626483	UNDER	4.0	True
2023-05-25	San Francisco Giants	Milwaukee Brewers	7.637848902078941	8.256264214784208	4.4142847	9.0	-0.743735785215792	0.43310131477184843	UNDER	5.0	True
2023-05-25	Oakland Athletics	Seattle Mariners	8.057834025005251	7.776050837876763	4.2968454	8.5	-0.7239491621232368	0.43310131477184843	UNDER	5.0	True
2023-05-25	Philadelphia Phillies	Atlanta Braves	9.454006001342258	9.40718713487171	4.567	9.5	-0.09281286512828935	0.4918930527220016	UNDER	13.0	False
2023-05-25	New York Mets	Chicago Cubs	8.426968250365976	8.159553299220159	4.450569	8.25	-0.0904467007798413	0.4918930527220016	UNDER	11.0	False
