date	away_team	home_team	commence_time	snapshot_ts	requested_snapshot_ts	close_total_line	num_books	close_total_line	fanduel_line	pinnacle_line	betmgm_line	draftkings_line	actual_total	season
2023-07-23	Los Angeles Dodgers	Texas Rangers	2023-07-23 18:35:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	10.0	4	10.0	10.0	10.0	10.0	10.0	12.0	2023.0
2023-07-23	New York Mets	Boston Red Sox	2023-07-23 23:10:00+00:00	2023-07-23 21:55:39+00:00	2023-07-23 22:00:00+00:00	10.75	4	10.75	11.0	11.0	10.5	10.5	7.0	2023.0
2023-07-23	Philadelphia Phillies	Cleveland Guardians	2023-07-23 17:40:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	8.75	4	8.75	8.5	9.0	9.0	8.5	13.0	2023.0
2023-07-23	Pittsburgh Pirates	Los Angeles Angels	2023-07-23 01:07:00+00:00	2023-07-23 00:55:40+00:00	2023-07-23 01:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	12.0	2023.0
2023-07-23	San Diego Padres	Detroit Tigers	2023-07-23 16:05:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	4.0	2023.0
2023-07-23	San Francisco Giants	Washington Nationals	2023-07-23 17:35:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	7.0	2023.0
2023-07-23	St. Louis Cardinals	Chicago Cubs	2023-07-23 18:20:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	9.5	4	9.5	9.5	9.5	9.0	9.5	9.0	2023.0
2023-07-23	Toronto Blue Jays	Seattle Mariners	2023-07-23 20:10:00+00:00	2023-07-23 18:55:40+00:00	2023-07-23 19:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	7.0	2023.0
2023-07-24	Baltimore Orioles	Philadelphia Phillies	2023-07-24 22:40:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	5.0	2023.0
2023-07-24	Colorado Rockies	Washington Nationals	2023-07-24 23:05:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	9.5	4	9.5	9.0	9.5	9.5	9.5	16.0	2023.0
2023-07-24	Kansas City Royals	Cleveland Guardians	2023-07-24 23:10:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	8.0	2023.0
2023-07-24	San Francisco Giants	Detroit Tigers	2023-07-24 17:10:00+00:00	2023-07-24 15:55:40+00:00	2023-07-24 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	6.0	2023.0
2023-07-24	Seattle Mariners	Minnesota Twins	2023-07-24 23:40:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	7.0	2023.0
2023-07-25	Atlanta Braves	Boston Red Sox	2023-07-25 23:10:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	10.5	4	10.5	10.5	10.5	10.5	10.5	8.0	2023.0
2023-07-25	Baltimore Orioles	Philadelphia Phillies	2023-07-25 22:40:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.0	7.0	2023.0
2023-07-25	Cincinnati Reds	Milwaukee Brewers	2023-07-25 00:10:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	9.25	4	9.25	9.0	9.5	9.5	9.0	7.0	2023.0
2023-07-25	Colorado Rockies	Washington Nationals	2023-07-25 23:05:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	9.5	4	9.5	9.5	9.0	9.5	9.5	11.0	2023.0
2023-07-25	Kansas City Royals	Cleveland Guardians	2023-07-25 23:10:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	8.75	4	8.75	9.0	9.0	8.5	8.5	6.0	2023.0
2023-07-25	Los Angeles Angels	Detroit Tigers	2023-07-25 22:40:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	13.0	2023.0
2023-07-25	Miami Marlins	Tampa Bay Rays	2023-07-25 22:40:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	5.0	2023.0
2023-07-25	New York Mets	New York Yankees	2023-07-25 23:05:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	12.0	2023.0
2023-07-25	Pittsburgh Pirates	San Diego Padres	2023-07-25 01:40:00+00:00	2023-07-25 00:55:40+00:00	2023-07-25 01:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	6.0	2023.0
2023-07-25	Seattle Mariners	Minnesota Twins	2023-07-25 23:40:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	16.0	2023.0
2023-07-25	St. Louis Cardinals	Arizona Diamondbacks	2023-07-25 01:40:00+00:00	2023-07-25 00:55:40+00:00	2023-07-25 01:00:00+00:00	10.0	4	10.0	9.5	10.5	10.0	10.0	4.0	2023.0
2023-07-25	Texas Rangers	Houston Astros	2023-07-25 00:10:00+00:00	2023-07-24 21:55:39+00:00	2023-07-24 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	7.0	2023.0
2023-07-25	Toronto Blue Jays	Los Angeles Dodgers	2023-07-25 02:10:00+00:00	2023-07-25 00:55:40+00:00	2023-07-25 01:00:00+00:00	9.25	4	9.25	9.5	9.0	9.5	9.0	15.0	2023.0
2023-07-26	Atlanta Braves	Boston Red Sox	2023-07-26 23:10:00+00:00	2023-07-26 21:55:40+00:00	2023-07-26 22:00:00+00:00	10.0	4	10.0	10.0	10.0	10.0	10.0	8.0	2023.0
2023-07-26	Baltimore Orioles	Philadelphia Phillies	2023-07-26 22:05:00+00:00	2023-07-26 21:55:40+00:00	2023-07-26 22:00:00+00:00	9.0	4	9.0	9.5	9.0	9.0	9.0	10.0	2023.0
2023-07-26	Chicago Cubs	Chicago White Sox	2023-07-26 00:10:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	9.5	4	9.5	9.0	9.5	9.5	9.5	17.0	2023.0
2023-07-26	Cincinnati Reds	Milwaukee Brewers	2023-07-26 00:10:00+00:00	2023-07-25 21:55:40+00:00	2023-07-25 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	3.0	2023.0
2023-07-26	Colorado Rockies	Washington Nationals	2023-07-26 16:05:00+00:00	2023-07-26 15:55:40+00:00	2023-07-26 16:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	9.0	2023.0
2023-07-26	Kansas City Royals	Cleveland Guardians	2023-07-26 17:10:00+00:00	2023-07-26 15:55:40+00:00	2023-07-26 16:00:00+00:00	10.0	4	10.0	9.5	10.0	10.0	10.0	11.0	2023.0
2023-07-26	Los Angeles Angels	Detroit Tigers	2023-07-26 22:40:00+00:00	2023-07-26 15:55:40+00:00	2023-07-26 16:00:00+00:00	8.5	4	8.5	8.0	8.5	8.5	8.5		
2023-07-26	Miami Marlins	Tampa Bay Rays	2023-07-26 16:10:00+00:00	2023-07-26 15:55:40+00:00	2023-07-26 16:00:00+00:00	7.5	4	7.5	7.0	7.5	7.5	7.5	8.0	2023.0
2023-07-26	New York Mets	New York Yankees	2023-07-26 23:05:00+00:00	2023-07-26 21:55:40+00:00	2023-07-26 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	4.0	2023.0
2023-07-26	Oakland Athletics	San Francisco Giants	2023-07-26 01:45:00+00:00	2023-07-26 00:55:41+00:00	2023-07-26 01:00:00+00:00	8.25	4	8.25	8.5	8.0	8.0	8.5	11.0	2023.0
2023-07-26	Pittsburgh Pirates	San Diego Padres	2023-07-26 01:40:00+00:00	2023-07-26 00:55:41+00:00	2023-07-26 01:00:00+00:00	8.5	4	8.5	8.5	8.5	8.0	8.5	5.0	2023.0
